"","X","Y","Tree_loss","Pop_densit","Dist_sett","Slope","Elevation","Annual_Rai","Dist_track","Dist_road","Dist_river","Dist_edge","Dist_defor","treated"
"1",896055,7962765,0,0.38538184762,4044.21801758,12.6466693878,646,2008,810,16143.3730469,1556.53466797,499,540.832702637,1
"2",896205,7962765,0,0.365691244602,4164.27685547,18.0235271454,681,1936,960,16123.4296875,1690.9465332,430,474.341644287,1
"3",901455,7962765,0,0.0898779481649,2289.65063477,17.5283699036,818,1902,1608.01123047,15577.3974609,3144.28051758,421,848.528137207,1
"4",901605,7962765,0,0.0867433324456,2280.78930664,7.97323322296,800,1938,1637.1315918,15582.7402344,3107.57128906,457,900.49987793,1
"5",901755,7962765,0,0.0891429185867,2281.77563477,10.07396698,794,1938,1679.19628906,15589.5253906,3077.74267578,391,774.209289551,1
"6",901905,7962765,0,0.0853215381503,2292.59667969,13.0080003738,781,1938,1733.26281738,15597.75,3054.99584961,335,657.95135498,1
"7",902055,7962765,0,0.0862118750811,2313.11474609,11.6301050186,773,1938,1797.99890137,15607.4121094,3039.48999023,330,558.032287598,1
"8",895905,7962615,0,0.396324306726,4021.90258789,25.7191028595,622,2008,676.830871582,16016.3193359,1355.65478516,612,729.931518555,1
"9",896055,7962615,0,0.39212167263,4137.17285156,6.91817474365,665,2008,823.771789551,15994.8115234,1493.08410645,631,670.820373535,1
"10",896205,7962615,0,0.370208323002,4254.609375,16.6321544647,697,1936,971.648071289,15974.6826172,1632.7277832,569,618.465820313,1
"11",896355,7962615,0,0.357202291489,4335.49316406,17.9653530121,739,1936,1120.0892334,15955.9394531,1774.06311035,541,600,1
"12",896505,7962615,10,0.333638995886,4212.83740234,19.8367919922,727,1936,1268.8972168,15938.5849609,1916.71594238,553,606.712463379,1
"13",901005,7962615,0,0.0902146920562,2518.03491211,11.5463113785,841,1902,1740,15420.0292969,3155.70922852,390,390,1
"14",901155,7962615,0,0.0897562876344,2482.94189453,18.3595504761,873,1902,1740,15421.0507813,3097.41821289,511,540,1
"15",901305,7962615,0,0.0857261717319,2456.52197266,23.0611362457,874,1902,1742.3260498,15423.5302734,3045.40649414,518,690,1
"16",901455,7962615,0,0.0834444910288,2439.05712891,16.1687412262,857,1902,1756.47375488,15427.46875,3000,564,840,1
"17",901605,7962615,0,0.0838005319238,2430.74072266,24.3959789276,843,1938,1783.17138672,15432.8642578,2961.50292969,598,984.073181152,1
"18",901755,7962615,0,0.0839102193713,2431.66601563,17.8678607941,817,1938,1821.8671875,15439.7148438,2930.18774414,524,870,1
"19",901905,7962615,0,0.0856580510736,2441.82299805,12.3688821793,803,1938,1871.81726074,15448.0195313,2906.28637695,484,768.374938965,1
"20",902055,7962615,0,0.0874751359224,2461.09741211,5.74984931946,793,1938,1932.14904785,15457.7744141,2889.98266602,480,684.762756348,1
"21",902205,7962615,0,0.0863727629185,2489.27709961,6.18292999268,784,1938,1999.44995117,15468.9785156,2881.40600586,503,603.738342285,1
"22",902355,7962615,0,0.0934158936143,2526.06420898,12.0170354843,780,1938,2073.4753418,15481.6279297,2880.625,417,474.341644287,1
"23",902505,7962615,0,0.0943950116634,2571.08935547,10.8601112366,794,1967,2150.8137207,15495.71875,2887.64599609,319,361.247833252,1
"24",902655,7962615,0,0.0931455120444,2623.9284668,10.39935112,830,1967,2221.21582031,15511.2470703,2902.4128418,247,284.604980469,1
"25",902805,7962615,0,0.0943253561854,2675.5559082,21.229259491,801,1967,2268.32543945,15528.2099609,2924.80761719,242,270,1
"26",895905,7962465,0,0.393617302179,4120.82519531,30.1287155151,605,2008,713.09185791,15867.9863281,1299.73071289,711,816.088256836,1
"27",896055,7962465,0,0.372431576252,4233.40283203,21.7778091431,671,2008,859.069274902,15846.2773438,1442.49780273,765,807.774719238,1
"28",896205,7962465,0,0.352171003819,4348.24121094,17.6623191833,709,1936,1005.78326416,15825.9599609,1586.60009766,713,764.852905273,1
"29",896355,7962465,0,0.162020862103,4422.32958984,16.7538890839,766,1936,1149.8260498,15807.0400391,1731.7043457,691,750,1
"30",896505,7962465,10,0.156060189009,4302.15039063,17.0831432343,748,1936,1295.2220459,15789.5214844,1877.57824707,700,755.38067627,1
"31",896655,7962465,0,0.147914648056,4183.89746094,7.14066934586,728,1936,1441.56164551,15773.4111328,2024.05529785,741,787.464294434,1
"32",896805,7962465,0,0.149033799767,4067.73901367,16.5185661316,763,1936,1588.58422852,15758.7119141,2171.01367188,808,845.340148926,1
"33",896955,7962465,0,0.148907408118,3953.85888672,9.97026157379,796,1936,1736.11633301,15745.4277344,2318.36157227,895,924.175292969,1
"34",897105,7962465,0,0.147074565291,3842.46020508,19.7805690765,817,1914,1884.03820801,15733.5625,2466.02929688,872,1019.11724854,1
"35",900555,7962465,0,0.100662603974,2684.95800781,11.9946594238,768,1902,1890,15274.2431641,3237.36010742,124,123.69316864,1
"36",900705,7962465,0,0.0986529961228,2724.05957031,16.4846096039,813,1902,1890,15271.4443359,3159.27197266,150,150,1
"37",900855,7962465,0,0.0940731465816,2704.16357422,17.7668743134,845,1902,1890,15270.1181641,3086.50292969,268,268.328155518,1
"38",901005,7962465,0,0.088820554316,2663.08081055,17.6878223419,881,1902,1890,15270.0292969,3019.43701172,408,408.044128418,1
"39",901155,7962465,0,0.0868135243654,2629.92407227,18.1747627258,897,1902,1890,15271.0605469,2958.46240234,553,553.172668457,1
"40",901305,7962465,0,0.0826631635427,2604.99511719,18.0262908936,917,1902,1892.14160156,15273.5654297,2903.96289063,666,700.357055664,1
"41",901455,7962465,0,0.0805794671178,2588.5324707,20.2126331329,901,1902,1905.17712402,15277.5419922,2856.30883789,702,848.528137207,1
"42",901605,7962465,0,0.0807612538338,2580.69750977,25.5759983063,895,1938,1929.81860352,15282.9902344,2815.84790039,726,997.24621582,1
"43",901755,7962465,0,0.0869010984898,2581.56933594,11.009016037,857,1938,1965.62963867,15289.9082031,2782.89428711,664,979.489685059,1
"44",901905,7962465,0,0.0887463390827,2591.13867188,14.0212545395,821,1938,2012.01391602,15298.2939453,2757.71655273,633,890.44934082,1
"45",902055,7962465,0,0.0888827890158,2609.31030273,7.72540521622,812,1938,2068.26025391,15308.1445313,2740.52905273,630,807.774719238,1
"46",902205,7962465,0,0.08949033916,2635.90600586,9.74803256989,797,1938,2133.37768555,15319.4580078,2731.4831543,624,684.105224609,1
"47",902355,7962465,0,0.0903170183301,2670.67407227,10.724155426,799,1938,2202.90722656,15332.2304688,2730.65917969,531,573.149169922,1
"48",902505,7962465,0,0.0903282016516,2713.30053711,10.0522298813,816,1967,2280.19726563,15346.4589844,2738.06494141,443,483.735473633,1
"49",902655,7962465,0,0.0894074216485,2737.07861328,19.2316970825,860,1967,2356.48046875,15362.1386719,2753.6340332,395,429.534637451,1
"50",902805,7962465,0,0.0888666510582,2603.09423828,28.5137672424,849,1967,2409.73022461,15379.265625,2777.22875977,391,416.77331543,1
"51",902955,7962465,0,0.0953700840473,2470.95117188,14.8895568848,792,1967,2462.37695313,15397.8339844,2808.64746094,297,296.984863281,1
"52",895755,7962315,0,0.395360141993,4115.36132813,18.4349498749,570,2008,630.713867188,15742.9980469,1113.23852539,601,636.396118164,1
"53",895905,7962315,0,0.38061350584,4222.75976563,28.4002799988,642,2008,764.852905273,15719.6855469,1259.28552246,751,785.175109863,1
"54",896055,7962315,0,0.366757035255,4332.68945313,25.3495197296,699,2008,902.496520996,15697.7705078,1406.16503906,900,934.344665527,1
"55",896205,7962315,0,0.158668547869,4444.96337891,21.3423137665,741,1936,1043.55163574,15677.2607422,1553.64086914,859,912.414367676,1
"56",896355,7962315,0,0.161454126239,4512.48291016,19.6896743774,761,1936,1186.80236816,15658.1611328,1701.55810547,841,900,1
"57",896505,7962315,0,0.156431734562,4394.76953125,13.5859909058,770,1936,1331.54040527,15640.4765625,1849.81079102,849,904.488830566,1
"58",896655,7962315,0,0.143217220902,4279.07714844,16.7599468231,766,1936,1477.32861328,15624.2119141,1998.32434082,882,931.450500488,1
"59",896805,7962315,0,0.137743249536,4165.57324219,17.9013633728,773,1936,1623.60705566,15609.3720703,2147.04443359,939,980.866943359,1
"60",896955,7962315,0,0.140289619565,4054.44189453,13.0080003738,800,1936,1768.21948242,15595.9609375,2295.93115234,1015,1049.57128906,1
"61",897105,7962315,0,0.135642185807,3945.8840332,9.93726921082,835,1914,1913.66137695,15583.9824219,2444.95410156,1008,1134.06347656,1
"62",897255,7962315,0,0.130987226963,3840.1171875,8.76725196838,864,1914,2059.75732422,15556.6708984,2594.08935547,960,1149.8260498,1
"63",897405,7962315,0,0.124214030802,3737.37866211,18.7036781311,846,1914,2206.37719727,15522.0644531,2743.3190918,934,1001.2991333,1
"64",897555,7962315,0,0.121088184416,3637.92529297,13.6403112411,851,1914,2353.4230957,15488.8349609,2892.62866211,853,853.287780762,1
"65",897705,7962315,0,0.120547533035,3542.03320313,23.9196529388,889,1914,2500.81982422,15456.9882813,3042.00585938,706,706.116149902,1
"66",897855,7962315,0,0.122690632939,3450,22.1783885956,950,1914,2648.5090332,15426.5351563,3191.44165039,560,560.446228027,1
"67",898005,7962315,0,0.124474540353,3362.14208984,32.7515983582,921,1914,2796.4440918,15397.4833984,3340.92797852,418,417.851654053,1
"68",898155,7962315,0,0.123770296574,3278.79541016,27.9909706116,850,1951,2790.64501953,15369.8408203,3490.45849609,283,283.019439697,1
"69",898305,7962315,0,0.123981408775,3200.3125,18.6084690094,795,1951,2723.5637207,15343.6142578,3640.02758789,175,174.92855835,1
"70",898455,7962315,0,0.125396862626,3127.05932617,2.45639467239,764,1951,2659.19165039,15318.8115234,3789.63061523,120,120,1
