"","Year","Sample","Annual_Deforestation","TimeF","TreatedF","log_annual_defor"
"1",1,"CFAM",1,"0","1",0.693147180559945
"2",2,"CFAM",9,"0","1",2.30258509299405
"3",3,"CFAM",1,"0","1",0.693147180559945
"4",4,"CFAM",3,"0","1",1.38629436111989
"5",5,"CFAM",3,"0","1",1.38629436111989
"6",6,"CFAM",1,"0","1",0.693147180559945
"7",7,"CFAM",5,"0","1",1.79175946922805
"8",8,"CFAM",1,"0","1",0.693147180559945
"9",9,"CFAM",3,"0","1",1.38629436111989
"10",10,"CFAM",2,"0","1",1.09861228866811
"11",11,"CFAM",4,"0","1",1.6094379124341
"12",12,"CFAM",0,"0","1",0
"13",13,"CFAM",2,"1","1",1.09861228866811
"14",14,"CFAM",4,"1","1",1.6094379124341
"15",15,"CFAM",31,"1","1",3.46573590279973
"16",16,"CFAM",12,"1","1",2.56494935746154
"17",17,"CFAM",33,"1","1",3.52636052461616
"18",18,"CFAM",16,"1","1",2.83321334405622
"19",19,"CFAM",18,"1","1",2.94443897916644
"20",1,"Cont",10,"0","0",2.39789527279837
"21",2,"Cont",20,"0","0",3.04452243772342
"22",3,"Cont",6,"0","0",1.94591014905531
"23",4,"Cont",46,"0","0",3.85014760171006
"24",5,"Cont",32,"0","0",3.49650756146648
"25",6,"Cont",5,"0","0",1.79175946922805
"26",7,"Cont",132,"0","0",4.89034912822175
"27",8,"Cont",24,"0","0",3.2188758248682
"28",9,"Cont",39,"0","0",3.68887945411394
"29",10,"Cont",82,"0","0",4.4188406077966
"30",11,"Cont",127,"0","0",4.85203026391962
"31",12,"Cont",65,"0","0",4.18965474202643
"32",13,"Cont",165,"1","0",5.11198778835654
"33",14,"Cont",171,"1","0",5.14749447681345
"34",15,"Cont",104,"1","0",4.65396035015752
"35",16,"Cont",91,"1","0",4.52178857704904
"36",17,"Cont",134,"1","0",4.90527477843843
"37",18,"Cont",66,"1","0",4.20469261939097
"38",19,"Cont",59,"1","0",4.0943445622221
