"","Year","Sample","Annual_Deforestation","TimeF","TreatedF","log_annual_defor"
"1",1,"Cont",4,"0","0",1.6094379124341
"2",2,"Cont",10,"0","0",2.39789527279837
"3",3,"Cont",1,"0","0",0.693147180559945
"4",4,"Cont",14,"0","0",2.70805020110221
"5",5,"Cont",11,"0","0",2.484906649788
"6",6,"Cont",5,"0","0",1.79175946922805
"7",7,"Cont",26,"0","0",3.29583686600433
"8",8,"Cont",11,"0","0",2.484906649788
"9",9,"Cont",9,"1","0",2.30258509299405
"10",10,"Cont",14,"1","0",2.70805020110221
"11",11,"Cont",29,"1","0",3.40119738166216
"12",12,"Cont",19,"1","0",2.99573227355399
"13",13,"Cont",41,"1","0",3.73766961828337
"14",14,"Cont",48,"1","0",3.89182029811063
"15",15,"Cont",55,"1","0",4.02535169073515
"16",16,"Cont",48,"1","0",3.89182029811063
"17",17,"Cont",59,"1","0",4.0943445622221
"18",18,"Cont",31,"1","0",3.46573590279973
"19",19,"Cont",27,"1","0",3.3322045101752
"20",1,"CZ",0,"0","1",0
"21",2,"CZ",0,"0","1",0
"22",3,"CZ",0,"0","1",0
"23",4,"CZ",0,"0","1",0
"24",5,"CZ",0,"0","1",0
"25",6,"CZ",0,"0","1",0
"26",7,"CZ",0,"0","1",0
"27",8,"CZ",1,"0","1",0.693147180559945
"28",9,"CZ",0,"1","1",0
"29",10,"CZ",0,"1","1",0
"30",11,"CZ",1,"1","1",0.693147180559945
"31",12,"CZ",0,"1","1",0
"32",13,"CZ",0,"1","1",0
"33",14,"CZ",0,"1","1",0
"34",15,"CZ",0,"1","1",0
"35",16,"CZ",0,"1","1",0
"36",17,"CZ",2,"1","1",1.09861228866811
"37",18,"CZ",0,"1","1",0
"38",19,"CZ",3,"1","1",1.38629436111989
