"","Year","Sample","Annual_Deforestation","TimeF","TreatedF","log_annual_defor"
"1",1,"Cont",8,"0","0",2.19722457733622
"2",2,"Cont",13,"0","0",2.63905732961526
"3",3,"Cont",5,"0","0",1.79175946922805
"4",4,"Cont",20,"0","0",3.04452243772342
"5",5,"Cont",15,"0","0",2.77258872223978
"6",6,"Cont",3,"0","0",1.38629436111989
"7",7,"Cont",59,"0","0",4.0943445622221
"8",8,"Cont",10,"0","0",2.39789527279837
"9",9,"Cont",22,"0","0",3.13549421592915
"10",10,"Cont",47,"0","0",3.87120101090789
"11",11,"Cont",54,"0","0",4.00733318523247
"12",12,"Cont",31,"0","0",3.46573590279973
"13",13,"Cont",64,"0","0",4.17438726989564
"14",14,"Cont",68,"1","0",4.23410650459726
"15",15,"Cont",51,"1","0",3.95124371858143
"16",16,"Cont",46,"1","0",3.85014760171006
"17",17,"Cont",53,"1","0",3.98898404656427
"18",18,"Cont",35,"1","0",3.58351893845611
"19",19,"Cont",22,"1","0",3.13549421592915
"20",1,"TTF",12,"0","1",2.56494935746154
"21",2,"TTF",21,"0","1",3.09104245335832
"22",3,"TTF",1,"0","1",0.693147180559945
"23",4,"TTF",26,"0","1",3.29583686600433
"24",5,"TTF",5,"0","1",1.79175946922805
"25",6,"TTF",1,"0","1",0.693147180559945
"26",7,"TTF",22,"0","1",3.13549421592915
"27",8,"TTF",8,"0","1",2.19722457733622
"28",9,"TTF",16,"0","1",2.83321334405622
"29",10,"TTF",13,"0","1",2.63905732961526
"30",11,"TTF",15,"0","1",2.77258872223978
"31",12,"TTF",16,"0","1",2.83321334405622
"32",13,"TTF",36,"0","1",3.61091791264422
"33",14,"TTF",51,"1","1",3.95124371858143
"34",15,"TTF",62,"1","1",4.14313472639153
"35",16,"TTF",53,"1","1",3.98898404656427
"36",17,"TTF",145,"1","1",4.98360662170834
"37",18,"TTF",30,"1","1",3.43398720448515
"38",19,"TTF",16,"1","1",2.83321334405622
